MSZoning,LotFrontage,LotArea,Street,LandContour,Neighborhood,BldgType,HouseStyle,YearBuilt,RoofMatl,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolQC,Fence,SaleType,SaleCondition,SalePrice,TotBath,TotalPorchSF,Pool
RL,68.0,7922,Pave,Lvl,NAmes,1Fam,1Story,1953,CompShg,VinylSd,None,0.0,Gd,CBlock,TA,TA,No,GLQ,1057,TA,Y,SBrkr,1057,Gd,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Abnorml,109000,2,52,No
RL,65.0,6040,Pave,Lvl,Edwards,Duplex,1Story,1955,CompShg,Plywood,None,0.0,TA,PConc,NA,NA,NA,NA,0,TA,N,FuseP,1152,Fa,Typ,0,NA,NA,NA,0,NA,NA,N,0,NA,NA,WD,AdjLand,82000,2,0,No
RL,84.0,8658,Pave,Lvl,NAmes,1Fam,1Story,1965,CompShg,Wd Sdng,BrkFace,101.0,TA,CBlock,TA,TA,No,Rec,1088,Ex,Y,SBrkr,1324,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,NA,GdWo,WD,Abnorml,160000,2,138,No
RL,115.0,16905,Pave,Lvl,Timber,1Fam,1Story,1959,CompShg,VinylSd,None,0.0,Gd,CBlock,TA,TA,Gd,BLQ,1350,Gd,Y,SBrkr,1328,TA,Typ,2,Gd,Attchd,RFn,1,TA,TA,P,0,NA,NA,WD,Normal,170000,3,104,No
RL,70.0,9180,Pave,Lvl,SawyerW,1Fam,SFoyer,1983,CompShg,HdBoard,None,0.0,TA,CBlock,Gd,TA,Av,ALQ,840,Gd,Y,SBrkr,884,Gd,Typ,0,NA,Attchd,RFn,2,TA,Gd,Y,240,NA,MnPrv,WD,Normal,144000,2,0,No
RL,70.0,9200,Pave,Lvl,CollgCr,1Fam,1Story,1975,CompShg,VinylSd,None,0.0,TA,CBlock,Gd,TA,Av,LwQ,938,TA,Y,SBrkr,938,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,145,NA,MnPrv,WD,Normal,130250,2,0,No
RL,70.0,7945,Pave,Lvl,NAmes,1Fam,1Story,1959,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,TA,No,ALQ,1150,Ex,Y,FuseA,1150,TA,Typ,0,NA,Attchd,RFn,1,TA,TA,Y,0,NA,NA,WD,Normal,141000,2,0,No
RL,61.0,7658,Pave,Lvl,NridgHt,TwnhsE,1Story,2005,CompShg,MetalSd,BrkFace,412.0,TA,PConc,Ex,TA,No,GLQ,1752,Ex,Y,SBrkr,1752,Ex,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,196,NA,NA,WD,Normal,319900,3,82,No
RL,48.0,12822,Pave,Lvl,Mitchel,1Fam,1.5Fin,2003,CompShg,VinylSd,None,0.0,TA,PConc,Ex,TA,No,GLQ,1434,Ex,Y,SBrkr,2149,Gd,Typ,1,Ex,Attchd,RFn,2,TA,TA,Y,168,NA,NA,WD,Abnorml,239686,3,241,No
FV,84.0,11096,Pave,Lvl,Somerst,1Fam,1Story,2006,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,Av,GLQ,1656,Ex,Y,SBrkr,1656,Gd,Typ,0,NA,Attchd,RFn,3,TA,TA,Y,0,NA,NA,WD,Normal,249700,2,146,No
RM,33.0,4456,Pave,Lvl,OldTown,2fmCon,2Story,1920,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,TA,No,Unf,736,Gd,Y,SBrkr,1452,TA,Typ,0,NA,NA,NA,0,NA,NA,N,0,NA,NA,New,Partial,113000,2,102,No
RL,66.0,7742,Pave,Lvl,Sawyer,1Fam,1Story,1966,CompShg,HdBoard,None,0.0,TA,CBlock,TA,TA,No,BLQ,955,Ex,Y,SBrkr,955,TA,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,0,NA,MnPrv,WD,Normal,127000,2,0,No
RL,70.0,13869,Pave,Lvl,Gilbert,1Fam,2Story,1997,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,Av,GLQ,794,Gd,Y,SBrkr,1470,TA,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,177000,3,75,No
RM,52.0,6240,Pave,Lvl,BrkSide,1Fam,1.5Fin,1934,CompShg,Wd Sdng,None,0.0,TA,PConc,TA,TA,No,Unf,816,TA,Y,SBrkr,1176,TA,Typ,1,Gd,Detchd,Unf,2,TA,TA,Y,112,NA,MnPrv,WD,Normal,114500,1,0,No
RM,110.0,8472,Grvl,Bnk,IDOTRR,Duplex,1Story,1963,CompShg,Wd Sdng,None,0.0,TA,CBlock,Gd,TA,Gd,LwQ,816,TA,N,SBrkr,816,TA,Typ,0,NA,CarPort,Unf,2,TA,TA,Y,106,NA,NA,WD,Normal,110000,2,0,No
RL,68.0,50271,Pave,Low,Veenker,1Fam,1Story,1981,WdShngl,Wd Shng,None,0.0,TA,CBlock,Ex,TA,Gd,GLQ,1842,Gd,Y,SBrkr,1842,Gd,Typ,1,Gd,Attchd,Fin,3,TA,TA,Y,857,NA,NA,WD,Normal,385000,3,72,No
RL,60.0,7134,Pave,Bnk,NAmes,1Fam,SLvl,1955,CompShg,MetalSd,None,0.0,TA,CBlock,TA,TA,No,ALQ,384,TA,Y,SBrkr,1360,TA,Min1,1,TA,Detchd,Unf,2,TA,TA,Y,0,NA,MnPrv,WD,Normal,130000,1,50,No
RL,100.0,10175,Pave,Lvl,NAmes,1Fam,1Story,1964,CompShg,Plywood,BrkFace,272.0,TA,CBlock,TA,TA,No,BLQ,1425,Gd,Y,SBrkr,1425,TA,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,180500,2,0,No
FV,24.0,2645,Pave,Lvl,Somerst,Twnhs,2Story,1999,CompShg,MetalSd,BrkFace,456.0,TA,PConc,Gd,TA,No,GLQ,970,Ex,Y,SBrkr,1739,Gd,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,115,NA,NA,WD,Abnorml,172500,4,0,No
RL,89.0,11645,Pave,Lvl,CollgCr,1Fam,2Story,2004,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,No,Unf,860,Ex,Y,SBrkr,1720,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,196500,3,70,No
RL,66.0,13682,Pave,HLS,StoneBr,1Fam,2Story,2006,CompShg,VinylSd,BrkFace,1031.0,TA,PConc,Ex,TA,Gd,Unf,1410,Ex,Y,SBrkr,2945,Gd,Typ,1,Gd,BuiltIn,Fin,3,TA,TA,Y,192,NA,NA,New,Partial,438780,4,37,No
RL,60.0,7200,Pave,Bnk,CollgCr,1Fam,1Story,1972,CompShg,HdBoard,None,0.0,TA,CBlock,TA,TA,Av,ALQ,780,Ex,Y,SBrkr,780,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,196,NA,MnPrv,WD,Normal,124900,1,0,No
RL,63.0,13072,Pave,Lvl,SawyerW,1Fam,1Story,2004,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,No,ALQ,1158,Ex,Y,SBrkr,1158,Gd,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,0,NA,NA,New,Partial,158000,3,50,No
RM,60.0,7200,Pave,Lvl,IDOTRR,1Fam,2.5Unf,1920,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,Fa,No,Unf,530,TA,N,SBrkr,1111,Fa,Typ,0,NA,Detchd,Unf,1,TA,TA,N,0,NA,NA,WD,Normal,101000,1,144,No
RL,44.0,6442,Pave,Lvl,NridgHt,TwnhsE,1Story,2006,CompShg,VinylSd,Stone,178.0,TA,PConc,Gd,Gd,Mn,GLQ,1370,Ex,Y,SBrkr,1370,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,120,NA,NA,WD,Normal,202500,2,49,No
RM,50.0,10300,Pave,Bnk,OldTown,1Fam,2Story,1921,CompShg,Stucco,None,0.0,TA,BrkTil,TA,TA,No,Unf,576,Gd,Y,SBrkr,1710,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,12,NA,GdPrv,WD,Normal,140000,2,75,No
RL,70.0,9375,Pave,Lvl,CollgCr,1Fam,2Story,1997,CompShg,VinylSd,BrkFace,573.0,TA,PConc,Gd,TA,No,GLQ,1057,Ex,Y,SBrkr,2034,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,576,NA,GdPrv,WD,Normal,219500,4,36,No
RL,76.0,9591,Pave,Lvl,NridgHt,1Fam,2Story,2004,CompShg,VinylSd,BrkFace,344.0,TA,PConc,Ex,TA,Av,Unf,1143,Ex,Y,SBrkr,2473,Gd,Typ,1,Gd,BuiltIn,RFn,3,TA,TA,Y,192,NA,NA,WD,Normal,317000,3,151,No
RL,70.0,19900,Pave,Lvl,NAmes,1Fam,1Story,1970,CompShg,Plywood,BrkFace,287.0,TA,CBlock,Gd,TA,Gd,GLQ,1947,TA,Y,SBrkr,2207,TA,Min1,1,Gd,Attchd,RFn,2,TA,TA,Y,301,NA,NA,WD,Normal,180000,3,0,No
RL,72.0,10665,Pave,Lvl,CollgCr,1Fam,1Story,2003,CompShg,VinylSd,BrkFace,167.0,TA,PConc,Gd,TA,Av,GLQ,1453,Ex,Y,SBrkr,1479,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,144,NA,NA,WD,Normal,226000,3,29,No
RM,47.0,4608,Pave,Lvl,OldTown,1Fam,1Story,1945,CompShg,MetalSd,None,0.0,Gd,CBlock,TA,TA,No,Unf,747,TA,Y,SBrkr,747,TA,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,80000,1,0,No
RL,81.0,15593,Pave,Lvl,ClearCr,1Fam,1.5Fin,1953,CompShg,AsbShng,None,0.0,TA,CBlock,TA,TA,No,BLQ,1304,TA,Y,SBrkr,2287,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,225000,2,135,No
RL,95.0,13651,Pave,Lvl,NAmes,1Fam,1Story,1973,CompShg,Plywood,BrkFace,1115.0,Gd,CBlock,Gd,TA,Gd,ALQ,2223,Ex,Y,SBrkr,2223,TA,Typ,2,Gd,Attchd,Fin,2,TA,TA,Y,300,NA,NA,WD,Normal,244000,3,0,No
RL,69.0,7599,Pave,Lvl,Mitchel,1Fam,1Story,1982,CompShg,Plywood,None,0.0,TA,CBlock,TA,TA,No,ALQ,845,TA,Y,SBrkr,845,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,0,NA,NA,WD,Normal,129500,2,0,No
RL,74.0,10141,Pave,Lvl,Gilbert,1Fam,2Story,1998,CompShg,VinylSd,BrkFace,40.0,TA,PConc,Gd,TA,No,Unf,832,Gd,Y,SBrkr,1718,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,185000,3,385,No
RL,85.0,10200,Pave,Lvl,NAmes,1Fam,1Story,1954,CompShg,Wd Sdng,BrkFace,104.0,TA,CBlock,TA,TA,No,ALQ,1086,Gd,Y,SBrkr,1086,TA,Typ,0,NA,Attchd,Unf,2,TA,TA,Y,0,NA,GdWo,WD,Normal,144900,2,0,No
RM,60.0,5790,Pave,Lvl,OldTown,1Fam,2Story,1915,CompShg,VinylSd,None,0.0,Gd,CBlock,Fa,TA,No,Unf,840,Gd,N,SBrkr,1605,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,107400,2,202,No
RM,21.0,1596,Pave,Lvl,MeadowV,Twnhs,SLvl,1973,CompShg,CmentBd,None,0.0,TA,CBlock,Gd,TA,Gd,GLQ,462,TA,Y,SBrkr,988,TA,Typ,0,NA,BuiltIn,Unf,1,TA,TA,Y,120,NA,GdWo,WD,Normal,91000,2,101,No
RL,70.0,8475,Pave,Lvl,NAmes,1Fam,1Story,1956,CompShg,VinylSd,None,0.0,TA,CBlock,TA,TA,No,ALQ,952,Ex,Y,FuseA,952,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,135750,1,0,No
RM,50.0,8635,Pave,Lvl,BrkSide,1Fam,1.5Fin,1948,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,TA,No,BLQ,672,TA,Y,SBrkr,1285,TA,Min1,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,MnPrv,WD,Normal,127000,2,0,No
RL,72.0,10778,Pave,Lvl,Sawyer,Duplex,1Story,1968,CompShg,HdBoard,None,0.0,TA,CBlock,TA,TA,No,Unf,1768,TA,N,SBrkr,1768,TA,Typ,0,NA,NA,NA,0,NA,NA,Y,0,NA,NA,WD,Normal,136500,2,0,No
RM,60.0,10440,Pave,Lvl,OldTown,1Fam,2Story,1910,CompShg,Wd Sdng,None,0.0,TA,PConc,TA,TA,No,Unf,440,Gd,Y,SBrkr,1230,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,74,NA,MnPrv,WD,Normal,110000,2,128,No
RL,100.0,13000,Pave,Lvl,NAmes,1Fam,2Story,1968,CompShg,VinylSd,BrkFace,576.0,Gd,CBlock,Gd,TA,No,Rec,896,TA,Y,SBrkr,2142,Gd,Typ,1,Gd,Attchd,Fin,1,TA,TA,Y,0,NA,NA,WD,Normal,193500,3,324,No
RM,32.0,4500,Pave,Lvl,Mitchel,TwnhsE,1Story,1998,CompShg,VinylSd,BrkFace,443.0,Gd,PConc,Ex,Gd,No,GLQ,1237,Ex,Y,SBrkr,1337,TA,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,153500,3,199,No
RL,78.0,10206,Pave,Lvl,Somerst,1Fam,1Story,2007,CompShg,VinylSd,Stone,468.0,TA,PConc,Gd,TA,No,GLQ,1563,Ex,Y,SBrkr,1563,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,144,NA,NA,WD,Normal,245000,2,99,No
RL,80.0,8892,Pave,Lvl,NAmes,1Fam,1Story,1960,CompShg,MetalSd,BrkCmn,66.0,TA,CBlock,TA,TA,No,Unf,1065,Gd,Y,SBrkr,1065,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,74,NA,NA,COD,Normal,126500,2,0,No
RL,70.0,8530,Pave,Lvl,Gilbert,1Fam,SLvl,1995,CompShg,HdBoard,BrkFace,22.0,TA,PConc,Gd,TA,No,Unf,384,Gd,Y,SBrkr,1474,TA,Typ,1,TA,BuiltIn,Fin,2,TA,TA,Y,120,NA,NA,WD,Normal,168500,3,72,No
RL,121.0,16059,Pave,Lvl,NoRidge,1Fam,2Story,1991,CompShg,HdBoard,BrkFace,284.0,TA,CBlock,Gd,TA,No,Unf,1288,Ex,Y,SBrkr,2417,Gd,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,127,NA,NA,WD,Normal,260000,3,82,No
RL,122.0,11911,Pave,Lvl,Gilbert,1Fam,2Story,2005,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,Av,Unf,684,Ex,Y,SBrkr,1560,Gd,Typ,1,Gd,BuiltIn,Fin,2,TA,TA,Y,100,NA,NA,WD,Normal,174000,3,38,No
